id,name,type,rate,accuracy,range,stat,damage,effect1,effect2,contest
11,"Pin Missile",Bug,EOT,4,"Ranged (10)",ATK,1d6+1,"1 Target, Scatter","Pin Missile can hit up to 5 times. Once the user misses, they cannot attempt to make another Pin Missile attack on that turn.","Cool - 2d4 - Reliable"
12,Powder,Bug,EOT,2,"Ranged (5)",,,"1 Target, Coat","The target receives a Powder Coat. If the target uses a Fire-Type Move, the Coat is destroyed and they lose 1/4th of their max HP.","Smart - 2d4 - Scrambler"
13,"Quiver Dance",Bug,EOT,0,Self,,,"No Target","Raise the userâ€™s Special Attack 1 Combat Stage, raise the userâ€™s Special Defense 1 Combat Stage and raise the userâ€™s Speed 1 Combat Stage.","Cool - None - Get Ready!"
14,"Rage Powder",Bug,Center,0,"Ranged (5)",,,"No Target, Column, Intercept","Rage Powder creates a Column 1 meter wide. All legal targets may only target the user when using a Move until the user is knocked out or switched out. This Effect lasts for one round of combat.","Smart - 2d4 - Scrambler"
15,"Signal Beam",Bug,EOT,2,"Ranged (8)",SATK,3d10+12,"1 Target, Column","Signal Beam creates a Column 1 meter wide. Signal Beam confuses the target and any Legal Targets on 19-20 during Accuracy Check.","Beauty - None - Incentives"
16,"Silver Wind",Bug,Battle,2,"Ranged (15)",SATK,2d10+8,"1 Target, Column, Spirit Surge","Silver Wind creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Silver Wind, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Silver Wind.","Beauty - 2d4 - Incentives"
17,"Spider Web",Bug,Center,0,"Ranged (5)",,,"1 Target, Trap","Spider Web cannot miss.<br/>Grants: Threaded","Smart - 2d4 - Hold That Thought"
18,Steamroller,Bug,EOT,2,Melee,ATK,3d8+10,"1 Target, Pass","Steamroller Flinches the target on 15-20 during Accuracy Check. If the target is Small, Steamroller deals an additional 1d10.","Tough - 3d4 - No Effect"
19,"Sticky Web",Bug,EOT,0,"Ranged (6)",,,"No Target, Hazard","Set 10 square meters of Sticky Web, all 10 meters must be adjacent with at least one other space of Sticky Web next to each other. Sticky Web cause all foes to have their Speed Combat Stage lowered 1 when moving onto or over the occupied spaces with an Overland Capability. A foe can only lose 1 Combat Stage per turn this way.<br/>Grants: Threaded","Smart - 2d4 - Hold That Thought"
20,"String Shot",Bug,At-Will,3,"Ranged (6)",,,"1 Target, Column","String Shot creates a Column 2-meters wide. All Legal Targets within the Column lower their Speed 1 Combat Stage. If a target is hit by String Shot 5 times within 5 rounds of combat, they are Trapped. If a targetâ€™s Speed Combat Stage has already been lowered 6 times, String Shot Traps them.<br/>Grants: Threaded","Smart - 2d4 - Excitement"
21,"Struggle Bug",Bug,EOT,2,"Ranged (3)",SATK,1d10+4,"1 Target, Column","Struggle Bug creates a Column 1 meter wide. Struggle Bug lowers all Legal Targets Special Attack 1 Combat Stage.","Smart - 2d4 - Excitement"
22,"Tail Glow",Bug,Battle,0,Self,,,"No Target","Raise the userâ€™s Special Attack 3 Combat Stages.<br/>Grants: Glow","Beauty - None - Get Ready!"
23,Twineedle,Bug,EOT,3,Melee,ATK,1d8+3,"1 Target, Scatter","Twineedle can hit up to 2 times. If Twineedle misses its first target, you may still use it a second time. If you rolled an 18-20 on either Accuracy Check, the target is Poisoned.","Cool - 2d4 - Reliable"
24,U-Turn,Bug,Battle,2,Melee,ATK,3d8+10,"1 Target, Dash","If U-Turn successfully hits its target, the user deals damage and then immediately is returned to its Poke Ball in the same turn. A New Pokemon may immediately be sent out.","Cute - None - Inversed Appeal"
25,X-Scissor,Bug,EOT,2,Melee,ATK,3d10+12,"1 Target, Dash",,"Beauty - 2d4 - Round Starter"
26,Assurance,Dark,Battle,2,Melee,ATK,2d8+6,"1 Target","If Assuranceâ€™s target has already been damaged by a Move on the same round Assurance is being used, use 4d12+16 instead for Assuranceâ€™s Damage Dice Roll.","Beauty - 2d4 - Final Appeal"
27,"Beat Up",Dark,Battle,2,Melee,ATK,1d8+X,"1 Target, Scatter","Beat Up can hit up to X times. X is the amount of pokemon on the userâ€™s roster including the user, up to a maximum of 6. Once the user misses, they cannot attempt to make another Beat Up attack on that turn. For each target, use a different pokemonâ€™s Attack stat from your roster to calculate damage.","Smart - 2d4 - Reliable"
28,Bite,Dark,At-Will,2,Melee,ATK,2d10+8,"1 Target","Bite Flinches the target on 15-20 during Accuracy Check.","Tough - 3d4 - No Effect"
29,Crunch,Dark,EOT,2,Melee,ATK,3d10+12,"1 Target","Crunch lowers the targetâ€™s Defense 1 Combat Stage on 17-20 during Accuracy Check.","Tough - 2d4 - Round Starter"
30,"Dark Pulse",Dark,EOT,2,"Ranged (3)",SATK,3d10+12,"No Target, Burst","Dark Pulse creates a 3-meter Burst. Dark Pulse Flinches all Legal Targets on 17-20 during Accuracy Check.<br/>Grants: Aura","Cool - 2d4 - Round Starter"
31,"Dark Void",Dark,Battle,4,"Ranged (10)",,,"No Target, Burst","Dark Void creates a 10-meter Burst. All Legal Targets fall Asleep.","Smart - 2d4 - Excitement"
32,Embargo,Dark,Battle,2,"Ranged (6)",,,"1 Target","If the target has a held item, they cannot use it for the remainder of the encounter.","Cute - 2d4 - Hold That Thought"
33,"Feint Attack",Dark,EOT,0,Melee,ATK,1d10+10,"1 Target","Faint Attack cannot miss.","Smart - 2d4 - Round Ender"
34,"Fake Tears",Dark,EOT,2,"Ranged (10)",,,"1 Target","Lower the targetâ€™s Special Defense 2 Combat Stages.","Smart - 2d4 - Excitement"
35,Flatter,Dark,EOT,0,"Ranged (8)",,,"1 Target","Flatter Confuses the target and raises the targetâ€™s Special Attack 1 Combat Stage.","Smart - 2d4 - Excitement"
36,Fling,Dark,Battle,2,"Ranged (12)",ATK,2d12+5,"1 Target","The user may throw its held item when using Fling, changing its Damage Dice Roll. If a berry is thrown, the target receives the berryâ€™s benefits as if the target, instead of taking any damage, consumed the berry. If an item that causes an effect is thrown, the itemâ€™s effect is activated. If any other item is thrown the user deals an additional 2d6 during Damage Dice Roll. All berries or other cosumable held items are destroyed when used with Fling. Items that are not destroyed by Fling may be retrieved after an encounter.","Tough - 1d4 - Catching Up"
37,"Foul Play",Dark,Battle,2,Melee,ATK,4d12+16,"1 Target","The target reveals its Attack stat. When calculating damage, add the targetâ€™s Attack stat instead of the userâ€™s Attack stat.","Smart - 3d4 - No Effect"
38,"Hone Claws",Dark,EOT,0,Self,,,"No Target","Raise the userâ€™s Attack 1 Combat Stage. For the remainder of Combat, the userâ€™s Attack - Melee Moves need -1 on Accuracy Checks to hit.","Cool - None - Get Ready!"
39,"Knock Off",Dark,EOT,2,Melee,ATK,3d8+10,"1 Target","If the target has a held item, the target drops it and the item cannot be picked up or held for the remainder of combat.","Smart - 3d4 - No Effect"
40,Memento,Dark,Battle,0,"Ranged (15)",,,"1 Target","The userâ€™s HP is set to 0. The user does not need a line of sight to the target. Momento cannot be used if the user is at or below 0 HP. Each of the targetâ€™s stats are lowered 2 Combat Stages.","Tough - None - Big Show"
41,"Nasty Plot",Dark,EOT,0,Self,,,"No Target","Raise the userâ€™s Special Attack 2 Combat Stages.","Cute - None - Get Ready!"
42,"Night Daze",Dark,Battle,2,"Ranged (10)",SATK,3d12+14,"1 Target","The Target must roll +1 during Accuracy Checks for the remainder of the encounter on 13-20 during Accuracy Check.","Tough - 2d4 - Unsettling"
43,"Night Slash",Dark,EOT,2,Melee,ATK,3d8+10,"1 Target, Pass","Night Slash is a Critical Hit on 18-20 during Accuracy Check.","Beauty - 3d4 - No Effect"
44,"Parting Shot",Dark,Battle,2,"Ranged (5)",,,"1 Target, Sound","If Parting Shot successfully hits its target, the user lowers the targetâ€™s Attack and Special Attack 1 Combat Stage and then immediately is returned to its Poke Ball in the same turn. A New Pokemon may immediately be sent out.","Cool - None - Inversed Appeal"
45,Payback,Dark,Battle,2,Melee,ATK,2d8+6,"1 Target","If the target damaged Paybackâ€™s user on their last turn, deals 4d12+16 instead for Damage Dice Roll.","Cool - 1d4 - Special Attention"
46,Punishment,Dark,Battle,2,Melee,ATK,1d10+15,"1 Target","Punishment deals an additional 1d10 for each Combat Stage the target has above 0 per raised stat up to an additional 6d10 per stat.","Smart - 1d4 - Catching Up"
47,Pursuit,Dark,EOT,2,Melee,ATK,1d12+6,"1 Target, Interrupt","If the foe is fleeing or being switched out, Pursuit may be used as an Interrupt. While being used as an Interrupt, Pursuit may shift the user adjacent to the fleeing foe, up to 25 meters, ignoring Speed Capabilities, and attack them before they escape or are switched out with an additional 3d10+12 added to the Damage Dice Roll.","Smart - 1d4 - Good Show!"
48,Quash,Dark,Battle,2,"Ranged (10)",,,"1 Target, Intercept","Quash will not affect a Legal Target if it has already acted that round. Quash causes the target to act as if their Speed is 0, meaning their action is last for that turn.","Smart - 2d4 - Quick Set"
49,Snarl,Dark,EOT,3,"Ranged (5)",SATK,2d10+8,"No Target, Burst, Sound","Snarl creates a 5-meter Burst. All Legal Targets have their Special Attack lowered 1 Combat Stage.","Cute - 2d4 - Excitement"
50,Snatch,Dark,Battle,0,"Ranged (10)",,,"1 Target, Intercept","If the target is gaining a Combat Stage, you may use Snatch. The user gains the same Combat Stages the target does. Then, the target loses all Combat Stages they gained that turn. If the target is using a No Damage - Self Move, you may use Snatch. You use the No Damage - Self Move and the target does not.","Smart - None - Attention Grabber"
51,"Sucker Punch",Dark,Battle,2,Melee,ATK,3d10+12,"1 Target, Interrupt","If something is targeting the user with a damaging Attack - Melee Move, you may use Sucker Punch on the offender as an Interrupt.","Smart - 2d4 - Quick Set"
52,Switcheroo,Dark,Battle,2,Melee,,,"1 Target","The user and the target exchange held items.","Cool - None - Attention Grabber"
53,Taunt,Dark,EOT,3,"Ranged (10)",,2d10+8,"1 Target","Tauntâ€™s target can only use Moves that have Damage Dice Rolls for the next 1d4+1 turns.","Smart - None - Inversed Appeal"
54,Thief,Dark,Battle,2,Melee,ATK,1d12+6,"1 Target","Thief takes the targetâ€™s held item and attaches it to Thiefâ€™s user, if the user is not holding anything.","Tough - None - Attention Grabber"
55,Topsy-Turvy,Dark,EOT,2,"Ranged (5)",,,"1 Target","If the target has any negative Combat Stages, they are now positive. If the target has any positive Combat Stages, they are now negative.","Cute - None - Get Ready!"
56,Torment,Dark,Battle,2,"Ranged (10)",,,"1 Target","For 1d4+2 turns, Tormentâ€™s target may not use a Move they have already used in their last 2 turns.","Tough - None - Inversed Appeal"
57,"Draco Meteor",Dragon,Center,4,"Ranged (15)",SATK,6d12+22,"Target Area, Blast","Draco Meteor creates a 4-meter Blast. Lower the userâ€™s Special Attack 2 Combat Stages after damage.","Smart - 2d4 - Seen Nothing Yet"
58,"Dragon Claw",Dragon,EOT,2,Melee,ATK,3d10+12,"1 Target",,"Cool - 2d4 - Round Starter"
59,"Dragon Dance",Dragon,EOT,0,Self,,,"No Target","Raise the userâ€™s Attack 1 Combat Stage and raise the userâ€™s Speed 1 Combat Stage.","Cool - None - Get Ready!"
60,"Dragon Pulse",Dragon,EOT,2,"Ranged (3)",SATK,3d12+10,"No Target, Burst","Dragon Pulse creates a 3-meter Burst.<br/>Grants: Aura","Smart - 2d4 - Incentives"
61,"Dragon Rage",Dragon,Battle,2,"Ranged (8)",,40,"1 Target","Dragon Rage always deals 40 points of Damage. Do not apply weakness or resistance. Do not apply stats.","Cool - 3d4 - No Effect"
62,"Dragon Rush",Dragon,Battle,4,Melee,ATK,4d12+16,"1 Target, Dash, Push","The target is Pushed 3-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Dragon Rush Flinches the target on 17-20 during Accuracy Check.","Cool - 2d4 - Round Ender"
63,"Dragon Tail",Dragon,Battle,3,Melee,ATK,2d10+8,"1 Target, Push","The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the targetâ€™s owner must recall the Pushed target and replace them.","Smart - None - Big Show"
64,"Dragon Breath",Dragon,EOT,2,"Ranged (3)",SATK,2d10+8,"1 Target, Column","Dragonbreath creates a Column 1 meter wide. Dragonbreath Paralyzes all Legal Targets on 15-20 during Accuracy Check.","Cool - 2d4 - Round Starter"
65,"Dual Chop",Dragon,EOT,3,Melee,ATK,2d8+6,"1 Target, Scatter","Dual Chop can hit up to 2 times. If Dual Chop misses its first target, you may still use it a second time.","Tough - 2d4 - Reliable"
66,Outrage,Dragon,Center,3,Melee,ATK,5d12+18,"1 Target","Outrageâ€™s user must make another Melee attack for 1d2 more turns. The attack is identical to Outrage except for Outrageâ€™s effect. After the first target is declared, Outrage targets the nearest Legal Target for its second or third round of use if the original target is unconscious.  If potential targets are an equal distance from the user, you may choose the target. After Outrageâ€™s additional use(s) end(s), the user becomes Confused. For Pokemon users, the additional 1d2 are their Trainerâ€™s Command Actions, unless the Trainer is unconscious, in which case the Pokemon acts on its own until finished.","Cool - 2d4 - Reliable"
67,"Roar of Time",Dragon,Center,4,"Ranged (10)",SATK,7d10+28,"No Target, Burst, Trap, Exhaust","Roar of Time creates a 10-meter Burst. All legal targets are Trapped until they roll a 16-20 saving throw. They may attempt to make this save at any time once per round.","Cool - 2d4 - Seen Nothing Yet"
68,"Spacial Rend",Dragon,Center,3,"Ranged (20)",SATK,4d12+16,"1 Target","Spacial Rend is a Critical Hit on 11-20 during Accuracy Check.","Tough - 2d4 - Incentives"
69,Twister,Dragon,At-Will,2,"Ranged (10)",SATK,1d12+6,"1 Target","Twister Flinches the target on 18-20 during Accuracy Check. If the target is airborne as a result of Fly or Sky Drop, Twister can hit them, ignoring Range and deals 2d12+16 for its Damage Dice Roll instead.","Cool - 3d4 - No Effect"
70,"Bolt Strike",Electric,Center,5,"Ranged (20)",ATK,5d12+22,"1 Target","Bolt Strike Paralyzes the target on 17-20 during Accuracy Check.","Cool - 2d4 - Round Starter"
71,Charge,Electric,EOT,0,Self,,,"No Target","If the user performs an Electric Move on their next turn that deals damage, add its Damage Dice Roll an extra time to the damage. Raise the userâ€™s Special Defense 1 Combat Stage.<br/>Grants: Zapper","Smart - None - Get Ready!"
72,"Charge Beam",Electric,Battle,3,"Ranged (5)",SATK,2d8+6,"1 Target, Column, Spirit Surge","Charge Beam creates a Column 1 meter wide. Charge Beam raises the userâ€™s Special Attack 1 Combat Stage on 11-20 during Accuracy Check.","Beauty - 2d4 - Round Starter"
73,Discharge,Electric,EOT,2,"Ranged (3)",SATK,3d10+12,"No Target, Burst","Discharge creates a 3-meter Burst. Discharge Paralyzes all legal targets on 15-20 during Accuracy Check.<br/>Grants: Zapper","Cool - 2d4 - Round Starter"
74,"Eerie Impulse",Electric,EOT,2,"Ranged (4)",,,"1 Target","The targetâ€™s Special Attack is lowered 2 Combat Stages.","Smart - 2d4 - Unsettling"
75,"Electric Terrain",Electric,Battle,0,Self,,,"No Target","For the remainder of the Encounter, nothing touching the ground within 10m of the user can fall Asleep. Any Electric-Type Moves used within 10m of the user deal an additional 3 STAB.","Smart - 2d4 - Unsettling"
76,Electrify,Electric,EOT,2,"Ranged (4)",,,"1 Target","The next Move the target performs becomes Electric Type, replacing the Moveâ€™s other Types.","Smart - 2d4 - Hold That Thought"
77,"Electro Ball",Electric,Battle,2,"Ranged (10)",SATK,"See Effect","1 Target","The target reveals their current Speed stat, applying Combat Stages. If the userâ€™s Speed stat, applying Combat Stages is four times that of the targetâ€™s, Electro Ball uses 5d10+16 for Damage Dice Roll; if the user three times that of the targetâ€™s, Electro Ball uses 3d10+14; if the user is twice that of the target, Electro Ball uses 2d10+12; if the user is not twice as fast as the target, Electro Ball uses 1d10+10.","Beauty - 2d4 - Final Appeal"
78,Electroweb,Electric,EOT,3,"Ranged (4)",SATK,1d10+10,"1 Target, Column","Electroweb creates a Column 2-meters wide. All Legal Targets are lowered 1 Speed Combat Stage.<br/>Grants: Threaded","Smart - 2d4 - Hold That Thought"
79,"Fusion Bolt",Electric,Center,2,"Ranged (10)",ATK,4d12+22,"1 Target, Column","Fusion Bolt creates a 4-meter Column. If an opponent in this, or the last, round of the encounter used Fusion Flare, Fusion Bolt deals an additional 8d12 in Damage Dice Roll.","Beauty - 2d4 - Seen Nothing Yet"
80,"Ion Deluge",Electric,At-Will,0,Self,,,"No Target, Interrupt","Until the userâ€™s next action, all Normal Types Moves within 10m of the user become Electric Type.","Smart - 2d4 - Unsettling"
81,"Magnet Rise",Electric,Battle,0,Self,,,"No Target","Magnet Rise grants the user the Levitate Ability until the end of the Encounter. This does not replace the userâ€™s normal Ability. If the user already has Levitate, they now have two instances of Levitate.<br/>Grants: Magnetic","Cute - 2d4 - Hold That Thought"
82,"Magnetic Flux",Electric,EOT,0,"Ranged (10)",,,"No Target","All allies with the Ability Plus or Minus within 10 meters of the user have their Defense raised 1 Combat Stage and their Special Defense raised 1 Combat Stage.<br/>Grants: Magnetic","Smart - 2d4 - Seen Nothing Yet"
83,Nuzzle,Electric,EOT,2,Melee,ATK,1d6+3,"1 Target","Nuzzle Paralyzes the target.","Cute - 3d4 - No Effect"
84,"Parabolic Charge",Electric,EOT,2,"Ranged (3)",SATK,2d8+4,"1 Target, Burst","Parabolic Charge creates a 3-meter Burst. After all legal targets take damage, the user gains HP equal to half of the damage they dealt to the target who took the most damage from Parabolic Charge.","Cool - 3d4 - No Effect"
85,"Shock Wave",Electric,EOT,0,"Ranged (2)",SATK,2d10+8,"1 Target, Column","Shock Wave creates a Column 2-meters wide. Shock Wave cannot miss.<br/>Grants: Zapper","Cool - 2d4 - Round Starter"
86,Spark,Electric,EOT,2,Melee,ATK,3d8+10,"1 Target, Dash","Spark Paralyzes the target on 15-20 during Accuracy Check.","Cool - 3d4 - No Effect"
87,Thunder,Electric,Battle,6,"Ranged (15)",SATK,5d12+18,"1 Target, Blast","A 3-meter Blast surrounds the target. Thunder Paralyzes all Legal Targets on 13-20 during Accuracy Check. All Legal Targets within the Blastâ€™s radius are Pushed outward, away from the target, 3-meters. If the target is in Sunny Weather, Thunderâ€™s Accuracy Check is 11. If the target is in Rainy Weather, Thunder cannot miss. If the target is airborne as a result of Fly or Sky Drop, Thunder cannot miss them","Cool - 2d4 - Round Starter"
88,"Thunder Fang",Electric,EOT,3,Melee,ATK,3d8+10,"1 Target","Thunder Fang Paralyzes or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Paralyzed or Flinches. On 20 during Accuracy Check, the foe is Paralyzed and Flinches.","Smart - 3d4 - No Effect"
89,"Thunder Wave",Electric,Center,0,"Ranged (6)",,,"1 Target","Thunder Wave cannot miss. Thunder Wave Paralyzes the target.","Cool - 2d4 - Excitement"
90,Thunderbolt,Electric,Battle,2,"Ranged (7)",SATK,4d12+16,"1 Target, Column","Thunderbolt creates a Column 1 meter wide. Thunderbolt Paralyzes all Legal Targets on 19-20 during Accuracy Check.<br/>Grants: Zapper","Cool - 2d4 - Round Starter"
91,"Thunder Punch",Electric,EOT,2,Melee,ATK,3d10+12,"1 Target","Thunder Punch Paralyzes the target on 19-20 during Accuracy Check.","Cool - 2d4 - Round Starter"
92,"Thunder Shock",Electric,At-Will,2,"Ranged (10)",SATK,1d12+6,"1 Target","Thundershock Paralyzes the target on 17-20 during Accuracy Check.<br/>Grants: Zapper","Cool - 2d4 - No Effect"
93,"Volt Switch",Electric,Battle,2,"Ranged (5)",SATK,3d8+10,"1 Target","If Volt Switch successfully hits its target, the user deals damage and then immediately is returned to its Poke Ball in the same turn. A New Pokemon may immediately be sent out.","Cute - None - Inversed Appeal"
94,"Volt Tackle",Electric,EOT,2,Melee,ATK,5d12+18,"1 Target, Dash, Push, Recoil 1/3","The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Volt Tackle Paralyzes the target on 19-20 during Accuracy Check. After Volt Tackle deals damage, Recoil.","Cool - 2d4 - Seen Nothing Yet"
95,"Wild Charge",Electric,EOT,2,Melee,ATK,3d12+14,"1 Target, Dash, Recoil 1/4","After Wild Charge deals damage, Recoil.","Tough - 3d4 - No Effect"
96,"Zap Cannon",Electric,Battle,12,"Ranged (10)",SATK,5d12+18,"1 Target, Blast","A 2-meter Blast surrounds the target, Paralyzing all Legal Targets in the Blast.","Cool - 2d4 - Incentives"
97,"Aromatic Mist",Fairy,At-Will,2,"Ranged (10)",,,"1 Target","Aromatic Mist raises the targetâ€™s Special Defense 1 Combat Stage.","Beauty - 2d4 - Seen Nothing Yet"
98,"Baby-Doll Eyes",Fairy,At-Will,2,"Ranged (4)",,,"1 Target","If a foe wants to declare a Move, you may instead use Baby-Doll Eyes on their turn before they can use their Move. Baby-Doll Eyes lowers the targetâ€™s Attack 1 Combat Stage.","Cute - 2d4 - Round Starter"
99,Charm,Fairy,EOT,2,"Ranged (10)",,,"1 Target","Charm lowers the targetâ€™s Attack 2 Combat Stages.","Cute - 2d4 - Excitement"
100,"Crafty Shield",Fairy,EOT,2,"Ranged (5)",,,"1 Target, Intercept","If a legal target is being hit by a Move without a Damage Dice Roll, the user may use Crafty Shield. Crafty Shield prevents the target from being effected by Moves without Damage Dice Rolls.","Smart - None - Inversed Appeal"
101,"Dazzling Gleam",Fairy,Battle,2,"Ranged (8)",SATK,2d12+21,"1 Target, Column","Dazzling Gleam creates a Column 1 meter wide.","Beauty - None - Reflective Appeal"
102,"Disarming Voice",Fairy,EOT,0,"Ranged (4)",SATK,1d8+4,"No Target, Burst, Sound","Disarming Voice creates a 4-meter Burst. Disarming Voice cannot miss.","Cute - 2d4 - Unsettling"
103,"Draining Kiss",Fairy,EOT,2,Melee,SATK,2d8+8,"1 Target","After the target takes damage, the user gains HP equal to 3/4th the damage they dealt to the target.","Cute - 2d4 - Unsettling"
104,"Fairy Lock",Fairy,Battle,2,Melee,,,"1 Target, Trap","Both the user and the target are Trapped.","Cute - 2d4 - Hold That Thought"
105,"Fairy Wind",Fairy,At-Will,2,"Ranged (4)",SATK,2d6,"1 Target, Column","Fairy Wind creates a Column 3 meters wide.","Beauty - None - Reflective Appeal"
106,"Flower Shield",Fairy,EOT,0,"Ranged (5)",,,"No Target, Burst","All Grass Type Pokemon within 5 meters of the user have their Defense raised 1 Combat Stage.","Beauty - 2d4 - Seen Nothing Yet"
107,Geomancy,Fairy,Battle,0,Self,,,"No Target, Set Up","Once you declare the use of Geomancy, the userâ€™s turn ends. On its next turn, the user may shift and use the rest of Geomancyâ€™s effect. Raise the userâ€™s Special Attack 2 Combat Stages, raise the userâ€™s Special Defense 2 Combat Stages, and raise the userâ€™s Speed 2 Combat Stages.","Cool - 1d4 - Special Attention"
108,"Misty Terrain",Fairy,Battle,0,Effect,,,"Target Area, Weather","For 5 rounds, the area is considered Misty. While Misty, Pokemon touching the ground cannot become Burned, Frozen, Paralyzed, Poisoned, or Asleep.","Cute - 2d4 - Scrambler"
109,Moonblast,Fairy,Battle,2,"Ranged (10)",SATK,3d12+14,"1 Target","Moonblast lowers the targetâ€™s Special Attack 1 Combat Stage on 17-20 during Accuracy Check.","Beauty - None - Reflective Appeal"
110,Moonlight,Fairy,Center,0,Self,,,"No Target","The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming or Hailing the user gains Â¼ of their full HP.","Beauty - None - Reflective Appeal"
111,"Play Rough",Fairy,Battle,2,Melee,ATK,3d12+14,"1 Target","Play Rough lowers the targetâ€™s Attack 1 Combat Stage on 18-20 during Accuracy Check.","Cute - 2d4 - Unsettling"
112,"Sweet Kiss",Fairy,Battle,6,"Ranged (8)",,,"1 Target","Sweet Kiss Confuses the target.","Cute - 2d4 - Excitement"
113,"Arm Thrust",Fighting,EOT,4,Melee,ATK,1d6+1,"1 Target, Scatter","Arm Thrust can hit up to 5 times. Once the user misses, they cannot attempt to make another Arm Thrust attack on that turn.","Tough - 2d4 - Reliable"
114,"Aura Sphere",Fighting,Battle,0,"Ranged (10)",SATK,3d12+14,"1 Target","Aura Sphere cannot miss.<br/>Grants: Aura","Beauty - 2d4 - Round Starter"
115,"Brick Break",Fighting,EOT,2,Melee,ATK,3d10+12,"1 Target","Brick Break can destroy Walls.","Cool - 3d4 - No Effect"
116,"Bulk Up",Fighting,EOT,0,Self,,,"No Target","Raise the userâ€™s Attack 1 Combat Stage and raise the userâ€™s Defense 1 Combat Stage.","Beauty - None - Get Ready!"
117,"Circle Throw",Fighting,Center,4,Melee,ATK,2d10+8,"1 Target, Push","The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the targetâ€™s owner must recall the Pushed target and replace them.","Tough - None - Big Show"
118,"Close Combat",Fighting,Battle,2,Melee,ATK,5d12+18,"1 Target, Dash","The userâ€™s Defense is lowered 1 Combat Stage and the userâ€™s Special Defense is lowered 1 Combat Stage.","Smart - 2d4 - Seen Nothing Yet"
119,Counter,Fighting,Battle,0,"Ranged (25)",,,"1 Target, Intercept","If the user is being hit by a Move that consults Attack for damage, you may use Counter. If the user survives the hit, the target is dealt damage equal to twice the amount of damage the user received. Do not apply weakness, resistance or immunity. Do not apply stats.","Tough - 2d4 - Final Appeal"
120,"Cross Chop",Fighting,Battle,4,Melee,ATK,4d12+16,"1 Target, Dash, Push","Cross Chop is a Critical Hit on 16-20 during Accuracy Check. Cross Chop Pushes the target 1-meter. On Critical Hit, the target is Pushed 5-meters and the target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.","Cool - 2d4 - Round Ender"
