id,name,activation,limit,keyword,effect
18,"Clear Body",Static,,,"The Pokemonâ€™s Combat Stages may not be lowered by the effect of Abilities or Moves. Status effects may still alter their Combat Stages."
19,"Cloud Nine","",,,"Return the Weather of the field to Normal if the Pokemon with Cloud Nine is a higher level then the Pokemon who caused the weather effect."
20,"Color Change",Trigger,,,"Whenever the Pokemon is hit by a damage-dealing Move, the Pokemon with Color Change will have its Type changed to the same Type as that of the Move it was damaged by."
21,Competitive,Static,,,"Whenever the user has a Combat Stage lowered, by something other than its own Moves or Abilities, the userâ€™s Special Attack is raised 2 Combat Stages for each Combat Stage it was lowered."
22,"Compound Eyes",Static,,,"The user needs -3 to hit on any Accuracy Check."
23,Contrary,Static,,,"If something would raise the userâ€™s Combat Stages, it instead lowers the userâ€™s Combat Stages by the same amount. If something would lower the userâ€™s Combat Stages, it instead raises the userâ€™s Combat Stages by the same amount."
24,"Cursed Body",Trigger,Hourly,,"When a foe hits the Pokemon with Cursed Body with a melee Move, that Move becomes Disabled after damaged is dealt."
25,"Cute Charm",Trigger,Daily,,"When an opposite gendered foe attacks the Pokemon with Cute Charm, they become Infatuated after damaged is dealt."
26,Damp,Static,,,"The Moves Selfdestruct and Explosion may not be used when a Pokemon with Damp is within 20-meters of Selfdestruct or Explosionâ€™s user. The Ability Aftermath may not be activated when a Pokemon with Damp is within 20-meters of the Pokemon attempting to activate Aftermath."
27,"Dark Art",Trigger,,"Last Chance",Dark
28,"Dark Aura","",,,"For the remainder of the Encounter, Dark Type Moves with a Damage Dice Roll deal an additional 2 STAB."
29,Defeatist,Trigger,,,"When below 50% HP, this Pokemonâ€™s Attack and Special Attack is set at -3 Combat Stages. It cannot be raised or lowered unless the user recovers HP above 50% HP."
30,Defiant,Static,,,"Whenever the user has a Combat Stage lowered, by something other than its own Moves or Abilities, the userâ€™s Attack is raised 2 Combat Stages for each Combat Stage it was lowered."
31,Download,Static,,,"When the Pokemon with Download targets with a damage-dealing Move, the target must reveal which of its defenses are lower. When the Pokemon with Download attacks a foe, they are treated as if their Attack is raised 1 Combat Stage if the targetâ€™s Defense is lower then the targetâ€™s Special Defense. When the Pokemon with Download attacks a foe, they are treated as if their Special Attack is raised 1 Combat Stage if the targetâ€™s Special Defense is lower then the targetâ€™s Defense."
32,Drizzle,"",,Weather,"As a Free Action, the Pokemon uses the Move Rain Dance."
33,Drought,"",,Weather,"As a Free Action, the Pokemon uses the Move Sunny Day."
34,"Dry Skin",Static,,,"While in Sunny Weather, the user loses 1/8 of its full HP at the beginning of each round. While in Rainy Weather, the user gains 1/8 of its full HP at the beginning of each round. Fire Type Moves made towards the Pokemon with Dry Skin deal damage as if the offender is 1 Combat Stage higher in whichever Attack Stat the Move consults. Water Type Moves heal the Pokemon with Dry Skin by calculating damage as if Dry Skinâ€™s user is resistant to Water Moves then healing that much HP instead of dealing damage."
35,"Early Bird",Static,,,"When making Sleep Checks, the Sleep Check counter starts at 11."
36,"Effect Spore",Trigger,,,"When hit by a melee Move, roll 1d20; on a result of 15-16, the attacker is Poisoned; on a result of 17-18, the attacker is Paralyzed; on a result of 19-20, the attacker falls Asleep."
37,"Fae Force",Trigger,,"Last Chance",Fairy
38,"Fairy Aura",Cast,Hourly,,"For the remainder of the Encounter, Fairy Type Moves with a Damage Dice Roll deal an additional 2 STAB."
39,Filter,Static,,,"When the user is hit by a Super-Effective attack, the attack deals 1.5x damage instead of x2 damage. If the user is hit by a Super-Super-Effective attack, the attack deals x3 damage instead of x4 damage."
40,"Flame Body",Trigger,Daily,,"When a foe hits the Pokemon with Flame Body with a melee Move, they become Burned after damaged is dealt."
41,"Flare Boost",Static,,,"When Burned, the userâ€™s Special Attack is raised by 2 Combat Stages. If the user is cured of its Burn, its Special Attack is lowered by 2 Combat Stages."
42,"Flash Fire",Static,,,"The user does not take damage from Fire Type Moves and may not be Frozen. If the user is hit by a Fire Type Move, the user adds +1/2 STAB to the next Fire Type Move they use in the encounter."
43,"Flower Gift",Trigger,Hourly,Burst,"If it is Sunny, Flower Gift creates a 4-meter Burst. The user and all of their allies in Sunny Weather have their Attack raised 2 Combat Stages and have their Special Defense raised 2 Combat Stages."
44,"Flower Veil",Static,,Immune,"Confusion, Infatuation. The Pokemon and its Grass Type allies cannot have their stats lowered and are also Immune to Confusion and Infatuation."
45,Focus,Trigger,,"Last Chance",Fighting
46,Forecast,Trigger,,,"The userâ€™s Type changes depending on the Weather the Pokemon is in. It changes to Fire Type if it is Sunny, Ice Type if it is Hailing, Water Type if it is Rainy. It returns to Normal Type if it is any other condition. If there are multiple Weather Effects on the field, choose one type for the user to be that corresponds with an existing Weather Effect."
47,Forewarn,Cast,Hourly,,"The Move with the highest Damage Dice Roll known by the targeted foe is revealed. If there is a tie, all tied Moves are revealed. The Moves revealed must roll +2 to hit during Accuracy Checks."
48,"Freezing Point",Trigger,,"Last Chance",Ice
49,"Friend Guard",Cast,Daily,,"For the rest of the encounter, any adjacent allied Pokemon who would be hit by any Moves that have a Damage Dice Roll of more than one die, including STAB or extra effects, the enemy does not include any STAB in their Damage Dice Roll(s)."
50,Frisk,Cast,Hourly,,"The adjacent target reveals what item they are holding, if any."
51,"Fur Coat",Static,,,"The user halves the damage they would take from Moves that use the Attack stat after they apply weakness and resistance."
52,"Gale Wing",Cast,Hourly,,"The user may use a Flying Type Move as an Interrupt."
53,Gather,Cast,Weekly,,"1d2 Unown appear. They are not immediately hostile."
54,Gluttony,Trigger,,,"When given a consumable item, the Pokemon immediately eats it. Any effects of the item are doubled."
55,Gooey,Trigger,,,"When the user is hit by a Melee Move, the attackerâ€™s Speed is lowered one Combat Stage."
56,"Grass Terrain",Static,,,"While on terrain covered in grass, the userâ€™s Defense Stat is raised 2 Combat Stages."
57,Guts,Trigger,Hourly,,"When Burned, Poisoned, Paralyzed, Frozen or put to Sleep, the userâ€™s Attack is raised 2 Combat Stages. When a Pokemon loses the status, their Combat Stages are lowered what they raised."
58,Harvest,Trigger,At-Will,,"Whenever the user eats a Berry, flip a coin. On heads, the user produces another berry of the exact same variety as a held item available for use next turn. On tails nothing happens. When in Sunny Weather, Harvest will always activate successfully."
59,Haunt,Trigger,,"Last Chance",Ghost
60,Healer,Cast,Hourly,,"One adjacent target suffering from at least one status affliction is instantly cured of all status afflictions."
61,"Heat Proof",Static,,,"The user halves the damage they would take from Fire Type Moves after they apply weakness and resistance."
62,"Heavy Metal",Static,,,"When referring to Weight Classes, treat the Pokemon as if it is 2 Weight Classes higher. The Pokemon cannot be pushed."
63,"Honey Gather",Cast,Daily,,"The user finds Honey if they are not holding an item. If Honey Gather is activated during an encounter, the user cannot miss its next three Moves that target a wild foe."
64,"Huge Power",Static,,,"The Pokemonâ€™s base attack stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Features."
65,Hustle,Static,,,"The userâ€™s Attack is raised 1 Combat Stages. The user must roll +2 during Accuracy Checks to hit with attack that consult the Attack stat."
66,Hydration,Trigger,,,"When in Rainy Weather, the user is healed of Paralysis, Burns, Poison, Freezing or Sleep."
67,"Hyper Cutter",Static,,,"The userâ€™s Attack Combat Stages may not be lowered."
68,"Ice Body",Trigger,,,"While in Hailing Weather, the user gains 1/16 of their full HP at the beginning of each of their turns."
69,Illuminate,Static,,,"Moves that target the user must roll +2 to hit during Accuracy Check."
70,Illusion,Trigger,At-Will,,"Whenever you this Pokemon is sent out of its Poke Ball, you may choose another Pokemon that you have with you. The user now looks exactly like that Pokemon from your team until the user takes Damage as a result of a Move. This change is aesthetic and does not affect typing or Moves. You may dismiss Illusion whenever you want."
71,Immunity,Static,,Immune,Poisoning
72,Imposter,Cast,Daily,,"When Ditto is sent out, it may use the Move Transform as a free action. If the target of Transform has any modified Combat Stages, apply these Combat Stages to Ditto. One of the targetâ€™s Abilities is randomly assigned to Ditto until Ditto uses Transform again."
73,Infiltrator,Static,,,"The user ignores Coats, Walls and Hazards."
74,"Inner Focus",Static,,Immune,Flinching
75,Insomnia,Static,,Immune,Sleep
76,Intimidate,Cast,Hourly,,"Lower one targetâ€™s Attack 1 Combat Stage."
77,"Iron Barbs",Trigger,,,"When hit by a Melee Ranged Move, the attacking foe loses 1/8 of their full HP. Do not apply weakness or resistance. Do not apply stats."
78,"Iron Fist",Static,,,"Bullet Punch, Comet Punch, Dizzy Punch, Drain Punch, Dynamic Punch, Fire Punch, Focus Punch, Hammer Arm, Ice Punch, Mach Punch, Mega Punch, Meteor Mash, Power-Up Punch, Shadow Punch, Sucker Punch, Sky Uppercut, and Thunder Punch deal an additional 2 STAB when the Pokemon with Iron Fist uses the Move as an attack."
79,Justified,Trigger,At-Will,,"When hit by a damaging Dark Type Move, the user may raise its Attack 1 Combat Stage."
80,"Keen Eye",Static,,,"The Pokemon cannot have its Accuracy Checks negatively affected by anything except Defense, Special Defense or Speed stats."
81,Klutz,Static,,,"The Pokemon with Klutz may drop held items, at-will, as a Free Action, even if they have Status Afflictions. The Pokemon may also hold an item, and ignore any effects the item has."
82,Landslide,Trigger,,"Last Chance",Ground
83,"Last Chance",Trigger,,"Last Chance",Normal
84,"Leaf Guard",Trigger,,,"While in Sunny Weather, the user is healed of Paralysis, Burns, Poison, Freezing or Sleep."
85,Levitate,Static,,,"The Pokemon is immune to Ground Type Moves."
86,"Light Metal",Static,,,"When referring to Weight Classes, treat the Pokemon as if it is 2 Weight Classes lower. The Pokemonâ€™s Speed Capabilities are all increased by 3 and its Jump capability is increased by 1."
87,Lightningrod,Static,,,"If any other Pokemon within 25-meters uses a Ranged Electric Type Move, the Move is drawn to the Pokemon with Lightning Rod without fail, and it cannot miss. This negates Lock-On or Mind Reader. This Pokemon is immune to damage and effects from Electric Moves, and each time they are hit by an Electric Move, the Pokemonâ€™s Special Attack is raised 1 Combat Stage."
88,Limber,Static,,Immune,Paralysis
89,"Liquid Ooze",Trigger,,,"When the Pokemon with Liquid Ooze is damaged or looses life as a result of Absorb, Drain Punch, Giga Drain, Horn Leech, Leech Life, Leech Seed or Mega Drain, the Pokemon using one of the above Moves lose life instead of gaining life as described per Move. Do not apply weakness or resistance. Do not apply stats."
90,"Mach Speed",Trigger,,"Last Chance",Flying
91,Magician,Trigger,,,"When the user hits an opponent that has a Held Item with a Ranged Move, the user takes that item if it is not holding any."
92,"Magic Bounce",Trigger,Hourly,,"When the user is hit by a Melee - No Damage or Ranged - No Damage Move, it may reflect the Move back to the offender. This Ability may be used to change the placement of any Hazards being set within 10 meters of the user as well."
93,"Magic Guard",Static,,,"Whenever the user would lose HP or take damage that isnâ€™t a result of a Damage Dice Roll the user does not lose HP or take Damage. This includes, but is not limited to, Weather, Leech Seed, Afflictions, Traps, Recoil, etc."
94,"Magma Armor",Static,,Immune,Freezing
95,"Magnet Pull",Cast,Hourly,,"Target Steel Type pokemon may not move more then 20-meters away from the user, or target Steel Type pokemon may not move closer then 20-meters to the user."
96,"Marvel Scale",Static,,,"When Asleep, Paralyzed, Burned, Frozen or Poisoned, Marvel Scale raises the userâ€™s Special Defense 2 Combat Stages and raises the userâ€™s Defense 2 Combat Stages. The Combat Stages return to normal if the user is cured of their status affliction."
97,"Mega Launcher",Static,,,"Aura Sphere, Dark Pulse, Dragon Pulse, Heal Pulse, or Water Pulse deal an additional 2 STAB when the Pokemon with Iron Fist uses the Move as an attack."
98,"Mind Mold",Trigger,,"Last Chance",Psychic
99,Minus,Static,,,"When an ally with the Ability Plus is within 10 meters, they are treated as if their Special Attack is raised 2 Combat Stages. The ally with Plus can only have one Minus Ability applied to its Special Attack."
100,"Mold Breaker",Cast,Hourly,,"The targetâ€™s Ability is disabled; it cannot be used until the end of the encounter."
101,Moody,Cast,"Required on first turn of",,"Cast Moody again in 1d4+1 rounds. Roll 1d6; on 1, re-roll; on 2, raise the userâ€™s Attack 2 Combat Stages; on 3, raise the userâ€™s Defense 2 Combat Stages; on 4, raise the userâ€™s Special Attack 2 Combat Stages; on 5, raise the userâ€™s Special Defense 2 Combat Stages; on 6, raise the userâ€™s Speed 2 Combat Stages. Then roll 1d6; on 1, re-roll; on 2, lower the userâ€™s Attack 1 Combat Stages; on 3, lower the userâ€™s Defense 1 Combat Stages; on 4, lower the userâ€™s Special Attack 1 Combat Stages; on 5, lower the userâ€™s Special Defense 1 Combat Stages; on 6, lower the userâ€™s Speed 1 Combat Stages."
102,"Motor Drive",Static,,,"The pokemon is immune to damage and the effects of Electric Type Moves. Whenever an Electric Type Move hits the pokemon, raise their Speed 1 Combat Stage."
103,"Mountain Peak",Trigger,,"Last Chance",Rock
104,Moxie,Trigger,,,"Whenever a userâ€™s Move causes a target to faint, it may raise its Attack Combat Stage by 1."
105,Multiscale,Static,,,"When taking damage from a Move while at full HP, half the total damage before applying weakness and resistance, before applying your Defenses."
106,Multitype,Cast,"At Will",,"Arceus changes its Elemental Type to any of the Elemental Types. Multitype cannot be copied or disabled."
107,Mummy,Static,,,"Whenever the user is a Legal Target of a Melee Range Move, the offender replaces all of its Abilities with Mummy for 1d6+2 rounds."
108,"Natural Cure",Cast,Hourly,,"The Pokemon is cured of Paralysis, Poisoning, Burns, Freezing and Sleep when returned to its Poke Ball."
109,"No Guard",Cast,"At Will",,"Until the end of the Encounter. All Moves you perform cannot miss and all Moves that target you cannot miss."
110,Normalize,Cast,"At Will",,"Until the end of the Encounter. All Moves performed by the Pokemon are considered Normal Type instead of whatever Type they normally are."
111,Oblivious,Static,,Immune,"Infatuation. The Move Taunt."
112,Overcharge,Trigger,,"Last Chance",Electric
113,Overcoat,Static,,,"The Pokemon does not take damage from any Weather that would normally cause it to take damage. The Pokemon is also immune to the Moves Cotton Spore, Poison Powder, Powder, Rage Powder, Sleep Powder, Spore, and Stun Spore."
114,Overgrow,Trigger,,"Last Chance",Grass
115,"Own Tempo",Static,,Immune,Confusion
116,"Parental Bond",Static,,,"When using a Move with a Damage Dice Roll, that does not have the scatter keyword, the user may immediately use the same Move against the same legal target or in the same spot, if using a Burst Move, unless any foes where lowered to 0HP or less. The second attack does not apply the Moveâ€™s Damage Dice Roll."
117,Pickpocket,Trigger,Daily,,"When the user hits an opponent that has a Held Item with a Melee Move, the user takes that item if it is not holding any."
118,Pickup,Cast,Daily,Pickup,"You may use Pickup at the end of any encounter. Roll 1d20, consult the Pickup keyword to figure out what you find."
119,Pixilate,Static,,,"The Pokemonâ€™s Normal Type Moves are treated as Fairy Type Moves. Add 1 STAB when dealing damage with Pixilate."
120,Plus,Static,,,"When an ally with the Ability Minus is within 10 meters, they are treated as if their Special Attack is raised 2 Combat Stages. The ally with Minus can only have one Plus Ability applied to its Special Attack."
121,"Poison Heal",Static,,,"When Poisoned or Badly Poisoned, the pokemon gains 1/8 of its full HP each turn instead of losing any HP. The pokemon does not have any Combat Stages lowered as a result of being Poisoned."
122,"Poison Point",Trigger,Daily,,"When hit by a melee Move, the Pokemon who attacked Poison Pointâ€™s user is Poisoned."
123,"Poison Touch",Static,,,"The Pokemonâ€™s Moves with a Damage Dice Roll that use the Attack Stat, Poison Legal Targets on 15-20. If the Move already Poisons on a different Accuracy Check, replace it with 15-20."
124,Prankster,Cast,Daily,,"For the remainder of the encounter, any Ranged - No Damage, Melee - No Damage, Self - No Damage or Field - No Damage Moves the user knows gain the keyword Interrupt. Prankster may not be used with Moves that set a Legal Targetâ€™s HP to 0."
125,Pressure,Cast,Daily,,"When this Ability is activated, all enemies have their Moves set to their original frequency if they were able to be used more frequently. In addition, At-Will moves are now EOT."
126,Protean,Cast,Hourly,,"For the remainder of the Encounter, whenever the Pokemon uses a Move, it immediately changes its Type to match the Move itâ€™s using, before damage."
127,"Pure Blooded",Trigger,,"Last Chance",Dragon
128,"Pure Power",Static,,,"The Pokemonâ€™s base Attack Stat is doubled. This may double any bonuses from Nature or Vitamins, but not bonuses from Features."
129,"Quick Feet",Static,,,"When Poisoned, Burned, Frozen or put to Sleep, the userâ€™s Speed is raised 2 Combat Stages. When Paralyzed, the userâ€™s Speed is raised 4 Combat Stages. When a Pokemon loses the status, their Combat Stages are lowered what they raised."
130,"Rain Dish",Trigger,,,"While in Rainy Weather, the user gains 1/16 of their full HP at the beginning of each of their turns."
131,Rattled,Trigger,,,"When hit by Bug, Dark, or Ghost Type Move, the user may raise its Speed 1 Combat Stage."
132,Reckless,Static,,,"Submission, Double-Edge, Take Down, Jump Kick, High Jump Kick, Volt Tackle, Wood Hammer, Flare Blitz, Brave Bird and Head Smash deal an additional 2 STAB when the Pokemon with Reckless uses the Move as an attack."
133,Refrigerate,Static,,,"The Pokemonâ€™s Normal Type Moves are treated as Ice Type Moves. Add 1 STAB when dealing damage with Refrigerate."
134,Regenerator,Cast,Hourly,,"The user instantly heals 1/4th of its max HP."
135,Rivalry,Static,,,"When battling a same gendered foe, the user may raise their Attack 2 Combat stages.  Rivalry may only be only applied once per Encounter."
136,"Rock Head",Static,,,"When the Pokemon uses Volt Tackle, Wood Hammer, Submission, Take Down, Brave Bird, Double-Edge, Flare Blitz, Head Smash, Jump Kick or High Jump Kick they do not lose any HP as a result of the Moveâ€™s effect."
137,"Rough Skin",Static,,,"When hit by a Melee Ranged Move, the attacking foe loses 1/8 of their full HP. Do not apply weakness or resistance. Do not apply stats."
138,"Run Away",Static,,,"The user cannot be Trapped. The userâ€™s Speed Combat Stages cannot be lowered below 0. The userâ€™s Speed Capabilities are +2."
139,"Sand Force",Trigger,Daily,,"While in Sandstorming Weather, the user may activate Sand Force until the end of an encounter. While active, Sand Force makes the user immune to damage from Sandstorms and the user deals an additional +1 STAB with Rock, Steel and Ground Moves regardless of the userâ€™s Type."
140,"Sand Rush",Trigger,Daily,,"While in Sandstorming Weather, the user may activate Sand Rush until the end of an encounter. While active, Sand Rush makes the user immune to damage from Sandstorms and its Speed stat is raised 4 Combat Stages. Do not add extra evasion to the user rasiing Combat Stages."
141,"Sand Stream",Cast,Daily,Weather,"As a Free Action, the Pokemon uses the Move Sandstorm."
142,"Sand Veil",Cast,Hourly,Sustain,"Sand Veil may only be activated while in Sandstorming Weather. The Pokemon creates a pocket of Clear Weather around itself and any other targets it wants to that is less then 15-meters away within the Sandstorm. These are Sand Bubbles. Any Move that tries to target into a Sand Bubble must roll +2 to hit during Accuracy Check. To Sustain, the Pokemon must remain out of a Poke Ball and must be above 0 HP."
143,"Sap Sipper",Static,,,"The user does not take damage from Grass Type Moves. If a Grass Type Move hits the user, the user may raise its Attack 1 Combat Stage up to once per turn."
144,Scrappy,Static,,,"Moves the Pokemon uses against Ghost Type foes can always hit them. Do not apply extra weaknesses or resistances. Do not apply Immunities. Count Moves those Ghost Type foes would usually be Immune to as Neutral Damaging Moves."
145,"Serene Grace",Static,,,"When a Moveâ€™s effect has something that activates during Accuracy Check, but only if you roll high enough, all of those checksâ€™ requirements to activate are reduced by 3. This does not apply to Critical Hits."
146,"Shadow Tag",Cast,Daily,,"Once adjacent to the target, they are Trapped. They may still Shift, but cannot Shift more then 20-meters from Shadow Tagâ€™s user."
147,"Shed Skin",Cast,Hourly,,"The Pokemon is cured of Paralysis, Freezing, Burns, Poison, and Sleep."
148,"Sheer Force",Cast,Daily,,"Once used, Sheer Force is in effect until the end of the Encounter. Whenever you use a move that has a secondary effect, which activates during Accuracy Check, that effect is ignored. If an effect has been ignored, that attack now deals an additional 2 STAB."
149,"Shell Armor",Static,,Immune,"Critical Hits"
150,"Shield Dust",Static,,,"The effects of damage dealing Moves that target the Pokemon with Shield Dust are disabled."
151,Simple,Static,,,"When the Pokemonâ€™s Combat Stages are altered, double the amount of Combat Stages they are raised or lowered."
152,"Skill Link",Static,,,"The Pokemonâ€™s Moves with the keyword Scatter can be used for their maximum amounts of time, even if one of the first attempts misses."
153,"Slow Start",Static,,,"For 3 rounds, the Pokemonâ€™s Speed and Attack Stats are halved."
154,Sniper,Static,,,"When the Pokemon gets a Critical Hit, add an additional Damage Dice Roll. This includes any base damage in the Damage Dice Roll."
155,"Snow Cloak",Cast,Hourly,Sustain,"Snow Cloak may only be activated while in Hailing Weather. The Pokemon creates a pocket of Clear Weather around itself and any other targets it wants to that is less then 15-meters away within the Hail. These are Snow Bubbles. Any Move that tries to target into a Snow Bubble must roll +2 to hit during Accuracy Check. To Sustain, the Pokemon must remain out of a Poke Ball and must be above 0 HP."
156,"Snow Warning",Cast,Hourly,Weather,"As a Free Action, the Pokemon uses the Move Hail."
157,"Solar Power",Trigger,,,"While in Sunny Weather, the Pokemon loses 1/8 of its full HP on its turn. When Sunny, its Special Attack Stat is increased by 2 Combat Stages."
158,"Solid Rock",Static,,,"Super Effective Moves that target the Pokemon are only regularly effective and Super Super Effective Moves that target the Pokemon are only Super Effective."
159,Soundproof,Static,,Immune,"The Moves Boomburst, Bug Buzz, Chatter, Confide, Echoed Voice, Disarming Voice, Echoed Voice, Grass Whistle, Growl, Heal Bell, Hyper Voice, Metal Sound, Noble Roar, Parting Shot, Perish Song, Relic Song, Roar, Roar of Time, Round, Screech, Sing, Snarl, Snore, Supersonic, and Uproar."
160,"Speed Boost",Cast,Hourly,,"For the remainder of the Encounter, the Pokemon’s Speed is raised 1 Combat Stage on each of its turns."
162,Static,Trigger,Daily,,"When a foe hits the Pokemon with Static with a melee Move, they become Paralyzed after damage is dealt."
163,Stall,Static,,,"In a roundâ€™s queue, a Pokemon with Stall is always last. If a Pokemon goes to the end of the queue, the Pokemon with Stall is still the last to move."
164,"Stance Change",Static,,,"When Aegislash uses a Move with a Damage Dice Roll switch its Defense and Special Defense stats with its Attack and Special Attack stats respectively. When it uses an Intercept Move, return its stats to normal."
165,Steadfast,Trigger,,,"When Flinched, the Pokemonâ€™s Speed is raised 1 Combat Stage."
166,Stench,Static,,,"The Pokemonâ€™s Moves which deal damage Flinch Legal Targets on 19-20. If a move already has a chance of Flinching foes, Stench lowers the number needed to roll in order to Flinch by -2."
167,"Sticky Hold",Static,,,"The Pokemonâ€™s held items cannot be stolen, switched, destroyed or dropped."
168,"Storm Drain",Static,,,"If any other Pokemon within 25-meters uses a Ranged Water Type Move, the Move is drawn to the Pokemon with Storm Drain without fail, and it cannot miss. This negates Lock-On or Mind Reader. This Pokemon is immune to damage and effects from Water Moves, and each time they are hit by an Water Move, the Pokemonâ€™s Special Attack is raised 1 Combat Stage."
169,"Strong Jaw",Static,,,"Bite, Bug Bite, Crunch, Fire Fang, Ice Fang, Poison Fang, and Thunder Fang deal an additional 1 STAB when the Pokemon with Strong Jaw uses the Move as an attack."
170,Sturdy,Static,,,"The Pokemon is immune to the Moves Sheer Cold, Guillotine, Horn Drill and Fissure. If any attack would lower this Pokemon to 0 HP or less from full HP, instead the Pokemonâ€™s HP is set to 1."
171,"Suction Cups",Static,,,"The Pokemon is immune to the Moves Roar and Whirlwind. The Pokemon is immune to Push effects."
172,"Super Luck",Static,,,"The Pokemonâ€™s Moves are Critical Hits on 18-20. If a Move already has an extended Critical Hit range, Super Luck extends that range by -2."
173,Swarm,Trigger,,"Last Chance",Bug
174,"Sweet Veil",Static,,Immune,"Sleep. Adjacent allies are Immune to Sleep as well."
175,"Swift Swim",Trigger,Hourly,,"While in Rainy Weather, the Speed stat of the Pokemon is raised 4 Combat Stages."
176,Symbiosis,Cast,At-Will,,"The user gives its Held Item to an Adjacent target without a Held Item."
177,Synchronize,Trigger,Hourly,,"When a foe Paralyzes, Freezes, Burns, Poisons, or puts the pokemon with Synchronize to Sleep, the foe is given the same Status effect they inflicted."
178,"Tangled Feet",Trigger,,,"While Confused, the Pokemonâ€™s foes must roll +3 during Accuracy Check to hit the pokemon with Tangled Feet."
179,Technician,Static,,,"Moves with the Damage Dice Rolls whose Max Damage are less than 30 add an additional 2d10 to their Damage Dice Roll. Technician may only be applied once when used with a Move that has Scatter."
180,Telepathy,Static,,,"Whenever the Pokemon is a Legal Target, if the offender whose Move is hitting the Pokemon does not want the Pokemon to be considered a Legal Target; it is not."
181,Teravolt,Cast,Hourly,,"The Targetâ€™s Abilities are Disabled.  They cannot be used until the end of the encounter."
182,"Thick Fat",Static,,,"The Pokemon is treated as if they are Resistant to Fire Type Moves and Ice Type Moves."
183,"Tinted Lens",Static,,,"The userâ€™s Resisted Moves instead deal Neutral Damage. The userâ€™s Doubly Resisted Moves are instead Resisted."
184,Torrent,Trigger,,"Last Chance",Water
185,"Tough Claws",Static,,,"The user deals an additional 15 damage when using Melee ranged Moves."
186,"Toxic Boost",Static,,,"When Poisoned or Badly Poisoned, the userâ€™s Attack is raised by 2 Combat Stages. If the user is cured of its Poisoning, its Attack stat is lowered by 2 Combat Stages."
187,Trace,Cast,Hourly,Sustain,"The Pokemon gains the Ability of a target within 10-meters of the Pokemon with Trace. To sustain, the Pokemon must remain out of a Poke Ball and above 0 HP."
188,Truant,Static,,,"Roll 1d20 when a Pokemon with Truant tries to Shift and/or use a Move; on 1-8, the Pokemon does nothing; on 9-20, the Pokemon uses its turn normally."
189,Turboblaze,Cast,Hourly,,"The Targetâ€™s Abilities are Disabled.  They cannot be used until the end of the encounter."
